State,State Abbreviation,Year,Gender,Education Level of Mother,Education Level Code,Number of Births,Average Age of Mother (years),Average Birth Weight (g)
Alabama,AL,2019,F,"Bachelor's degree (BA, AB, BS)",6,4293,30.4,3238.7
Alabama,AL,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1869,31.9,3235.4
Alabama,AL,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,523,33.2,3275.3
Alabama,AL,2019,F,Unknown or Not Stated,-9,46,27.4,3072.0
Alabama,AL,2019,M,8th grade or less,1,1212,28.0,3246.0
Alabama,AL,2019,M,9th through 12th grade with no diploma,2,2999,24.5,3144.5
Alabama,AL,2019,M,High school graduate or GED completed,3,9647,25.5,3179.5
Alabama,AL,2019,M,"Some college credit, but not a degree",4,6490,27.1,3212.7
Alabama,AL,2019,M,"Associate degree (AA, AS)",5,2617,28.9,3297.6
Alabama,AL,2019,M,"Bachelor's degree (BA, AB, BS)",6,4599,30.5,3342.3
Alabama,AL,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2046,32.1,3380.2
Alabama,AL,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,533,33.1,3375.9
Alabama,AL,2019,M,Unknown or Not Stated,-9,52,28.0,3160.5
Alabama,AL,2020,F,8th grade or less,1,1153,27.6,3100.8
Alabama,AL,2020,F,9th through 12th grade with no diploma,2,2763,24.8,3051.5
Alabama,AL,2020,F,High school graduate or GED completed,3,9355,25.6,3056.3
Alabama,AL,2020,F,"Some college credit, but not a degree",4,5668,27.3,3119.5
Alabama,AL,2020,F,"Associate degree (AA, AS)",5,2457,29.1,3170.9
Alabama,AL,2020,F,"Bachelor's degree (BA, AB, BS)",6,4307,30.5,3229.5
Alabama,AL,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1975,31.9,3229.2
Alabama,AL,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,549,33.2,3228.2
Alabama,AL,2020,F,Unknown or Not Stated,-9,42,29.4,2971.6
Alabama,AL,2020,M,8th grade or less,1,1141,27.4,3212.3
Alabama,AL,2020,M,9th through 12th grade with no diploma,2,2849,24.5,3121.3
Alabama,AL,2020,M,High school graduate or GED completed,3,9656,25.7,3172.3
Alabama,AL,2020,M,"Some college credit, but not a degree",4,5840,27.3,3233.1
Alabama,AL,2020,M,"Associate degree (AA, AS)",5,2639,29.2,3284.6
Alabama,AL,2020,M,"Bachelor's degree (BA, AB, BS)",6,4543,30.4,3347.7
Alabama,AL,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2101,32.1,3354.2
Alabama,AL,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,572,33.3,3327.8
Alabama,AL,2020,M,Unknown or Not Stated,-9,37,30.6,3034.6
Alabama,AL,2021,F,8th grade or less,1,1183,27.9,3127.1
Alabama,AL,2021,F,9th through 12th grade with no diploma,2,2595,24.5,3053.7
Alabama,AL,2021,F,High school graduate or GED completed,3,9437,25.8,3070.7
Alabama,AL,2021,F,"Some college credit, but not a degree",4,5577,27.6,3099.8
Alabama,AL,2021,F,"Associate degree (AA, AS)",5,2441,29.0,3156.5
Alabama,AL,2021,F,"Bachelor's degree (BA, AB, BS)",6,4480,30.5,3217.7
Alabama,AL,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2173,31.9,3212.8
Alabama,AL,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,577,33.0,3264.8
Alabama,AL,2021,F,Unknown or Not Stated,-9,32,27.8,3056.9
Alabama,AL,2021,M,8th grade or less,1,1203,27.6,3228.6
Alabama,AL,2021,M,9th through 12th grade with no diploma,2,2645,24.4,3132.3
Alabama,AL,2021,M,High school graduate or GED completed,3,9728,25.8,3180.0
Alabama,AL,2021,M,"Some college credit, but not a degree",4,5678,27.4,3227.7
Alabama,AL,2021,M,"Associate degree (AA, AS)",5,2598,29.2,3269.8
Alabama,AL,2021,M,"Bachelor's degree (BA, AB, BS)",6,4786,30.4,3362.4
Alabama,AL,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2248,31.8,3349.1
Alabama,AL,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,643,33.3,3327.3
Alabama,AL,2021,M,Unknown or Not Stated,-9,30,27.5,3102.0
Alaska,AK,2016,F,8th grade or less,1,32,28.2,3396.0
Alaska,AK,2016,F,9th through 12th grade with no diploma,2,491,24.5,3288.1
Alaska,AK,2016,F,High school graduate or GED completed,3,1603,26.2,3321.2
Alaska,AK,2016,F,"Some college credit, but not a degree",4,1442,27.8,3369.0
Alaska,AK,2016,F,"Associate degree (AA, AS)",5,438,29.7,3370.3
Alaska,AK,2016,F,"Bachelor's degree (BA, AB, BS)",6,892,31.0,3353.1
Alaska,AK,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,379,32.8,3371.1
Alaska,AK,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,86,33.5,3303.1
Alaska,AK,2016,F,Unknown or Not Stated,-9,81,29.4,3344.0
Alaska,AK,2016,M,8th grade or less,1,44,28.2,3263.0
Alaska,AK,2016,M,9th through 12th grade with no diploma,2,559,24.3,3347.5
Alaska,AK,2016,M,High school graduate or GED completed,3,1743,26.1,3436.5
Alaska,AK,2016,M,"Some college credit, but not a degree",4,1469,28.0,3485.8
Alaska,AK,2016,M,"Associate degree (AA, AS)",5,468,29.4,3482.9
Alaska,AK,2016,M,"Bachelor's degree (BA, AB, BS)",6,956,31.0,3473.1
Alaska,AK,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,340,33.1,3467.9
Alaska,AK,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,101,34.4,3505.4
Alaska,AK,2016,M,Unknown or Not Stated,-9,85,29.6,3412.2
Alaska,AK,2017,F,8th grade or less,1,45,28.3,3077.3
Alaska,AK,2017,F,9th through 12th grade with no diploma,2,466,24.0,3241.4
Alaska,AK,2017,F,High school graduate or GED completed,3,1522,26.6,3321.5
Alaska,AK,2017,F,"Some college credit, but not a degree",4,1323,27.8,3358.6
Alaska,AK,2017,F,"Associate degree (AA, AS)",5,420,30.0,3365.0
Alaska,AK,2017,F,"Bachelor's degree (BA, AB, BS)",6,796,31.3,3373.7
Alaska,AK,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,362,33.4,3391.9
Alaska,AK,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,93,34.0,3280.6
Alaska,AK,2017,F,Unknown or Not Stated,-9,71,29.1,3082.5
Alaska,AK,2017,M,8th grade or less,1,43,27.9,3315.0
Alaska,AK,2017,M,9th through 12th grade with no diploma,2,476,24.6,3373.2
Alaska,AK,2017,M,High school graduate or GED completed,3,1575,26.5,3447.3
Alaska,AK,2017,M,"Some college credit, but not a degree",4,1400,28.1,3459.8
Alaska,AK,2017,M,"Associate degree (AA, AS)",5,424,29.8,3455.8
Alaska,AK,2017,M,"Bachelor's degree (BA, AB, BS)",6,926,31.4,3486.8
Alaska,AK,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,326,33.4,3512.2
Alaska,AK,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,92,34.4,3381.3
Alaska,AK,2017,M,Unknown or Not Stated,-9,85,29.3,3337.0
Alaska,AK,2018,F,8th grade or less,1,36,28.1,3331.6
Alaska,AK,2018,F,9th through 12th grade with no diploma,2,439,24.6,3208.9
Alaska,AK,2018,F,High school graduate or GED completed,3,1430,26.5,3336.9
Alaska,AK,2018,F,"Some college credit, but not a degree",4,1242,28.2,3353.2
Alaska,AK,2018,F,"Associate degree (AA, AS)",5,408,30.1,3358.2
Alaska,AK,2018,F,"Bachelor's degree (BA, AB, BS)",6,838,31.4,3398.0
Alaska,AK,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,331,33.3,3408.3
Alaska,AK,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,96,34.0,3406.1
Alaska,AK,2018,F,Unknown or Not Stated,-9,58,29.7,3298.1
Alaska,AK,2018,M,8th grade or less,1,27,28.8,3254.3
Alaska,AK,2018,M,9th through 12th grade with no diploma,2,441,25.2,3343.2
Alaska,AK,2018,M,High school graduate or GED completed,3,1591,26.5,3448.0
Alaska,AK,2018,M,"Some college credit, but not a degree",4,1314,28.3,3464.2
Alaska,AK,2018,M,"Associate degree (AA, AS)",5,430,30.0,3491.6
Alaska,AK,2018,M,"Bachelor's degree (BA, AB, BS)",6,899,31.3,3474.1
Alaska,AK,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,312,33.3,3499.7
Alaska,AK,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,113,34.3,3412.3
Alaska,AK,2018,M,Unknown or Not Stated,-9,81,28.7,3247.4
Alaska,AK,2019,F,8th grade or less,1,35,29.8,3209.7
Alaska,AK,2019,F,9th through 12th grade with no diploma,2,385,25.2,3155.5
Alaska,AK,2019,F,High school graduate or GED completed,3,1421,26.6,3322.8
Alaska,AK,2019,F,"Some college credit, but not a degree",4,1191,28.2,3368.6
Alaska,AK,2019,F,"Associate degree (AA, AS)",5,365,30.3,3384.8
Alaska,AK,2019,F,"Bachelor's degree (BA, AB, BS)",6,801,31.6,3370.0
Alaska,AK,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,327,33.6,3353.8
Alaska,AK,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,111,34.2,3343.2
Alaska,AK,2019,F,Unknown or Not Stated,-9,67,29.4,3358.9
Alaska,AK,2019,M,8th grade or less,1,33,29.8,3283.4
Alaska,AK,2019,M,9th through 12th grade with no diploma,2,445,25.1,3315.6
Alaska,AK,2019,M,High school graduate or GED completed,3,1580,26.9,3410.0
Alaska,AK,2019,M,"Some college credit, but not a degree",4,1255,28.3,3447.6
Alaska,AK,2019,M,"Associate degree (AA, AS)",5,411,30.0,3460.2
Alaska,AK,2019,M,"Bachelor's degree (BA, AB, BS)",6,874,31.6,3486.6
Alaska,AK,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,309,33.0,3481.3
Alaska,AK,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,110,34.8,3421.2
Alaska,AK,2019,M,Unknown or Not Stated,-9,102,28.6,3233.0
Alaska,AK,2020,F,8th grade or less,1,22,28.9,3301.1
Alaska,AK,2020,F,9th through 12th grade with no diploma,2,370,25.8,3212.7
Alaska,AK,2020,F,High school graduate or GED completed,3,1472,26.7,3311.5
Alaska,AK,2020,F,"Some college credit, but not a degree",4,1143,28.4,3321.2
Alaska,AK,2020,F,"Associate degree (AA, AS)",5,389,30.3,3313.8
Alaska,AK,2020,F,"Bachelor's degree (BA, AB, BS)",6,786,31.3,3342.6
Alaska,AK,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,300,33.4,3327.7
Alaska,AK,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,114,34.4,3303.8
Alaska,AK,2020,F,Unknown or Not Stated,-9,69,28.0,3205.0
Alaska,AK,2020,M,8th grade or less,1,31,29.2,3423.2
Alaska,AK,2020,M,9th through 12th grade with no diploma,2,365,26.0,3401.2
Alaska,AK,2020,M,High school graduate or GED completed,3,1522,26.7,3427.1
Alaska,AK,2020,M,"Some college credit, but not a degree",4,1157,28.4,3447.4
Alaska,AK,2020,M,"Associate degree (AA, AS)",5,424,30.2,3498.1
Alaska,AK,2020,M,"Bachelor's degree (BA, AB, BS)",6,793,31.5,3481.4
Alaska,AK,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,312,33.1,3452.3
Alaska,AK,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,116,34.3,3482.4
Alaska,AK,2020,M,Unknown or Not Stated,-9,84,29.2,3255.4
Alaska,AK,2021,F,8th grade or less,1,31,28.2,3178.6
Alaska,AK,2021,F,9th through 12th grade with no diploma,2,323,24.6,3301.0
Alaska,AK,2021,F,High school graduate or GED completed,3,1366,26.9,3310.0
Alaska,AK,2021,F,"Some college credit, but not a degree",4,1096,28.4,3346.9
Alaska,AK,2021,F,"Associate degree (AA, AS)",5,369,30.6,3332.5
Alaska,AK,2021,F,"Bachelor's degree (BA, AB, BS)",6,804,31.4,3324.8
Alaska,AK,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,320,33.6,3334.7
Alaska,AK,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,121,34.4,3302.6
Alaska,AK,2021,F,Unknown or Not Stated,-9,78,29.5,3060.2
Alaska,AK,2021,M,8th grade or less,1,29,30.5,3146.0
Alaska,AK,2021,M,9th through 12th grade with no diploma,2,389,25.1,3337.1
Alaska,AK,2021,M,High school graduate or GED completed,3,1482,26.7,3399.6
Alaska,AK,2021,M,"Some college credit, but not a degree",4,1161,28.4,3428.2
Alaska,AK,2021,M,"Associate degree (AA, AS)",5,383,30.2,3440.4
Alaska,AK,2021,M,"Bachelor's degree (BA, AB, BS)",6,893,31.7,3472.7
Alaska,AK,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,334,33.8,3486.5
Alaska,AK,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,98,33.9,3426.2
Alaska,AK,2021,M,Unknown or Not Stated,-9,90,29.1,3251.2
Arizona,AZ,2016,F,8th grade or less,1,1373,29.8,3215.0
Arizona,AZ,2016,F,9th through 12th grade with no diploma,2,6069,24.8,3174.3
Arizona,AZ,2016,F,High school graduate or GED completed,3,10386,26.2,3218.4
Arizona,AZ,2016,F,"Some college credit, but not a degree",4,9871,27.7,3246.2
Arizona,AZ,2016,F,"Associate degree (AA, AS)",5,3589,29.4,3233.9
Arizona,AZ,2016,F,"Bachelor's degree (BA, AB, BS)",6,6783,31.1,3266.6
Arizona,AZ,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2459,32.7,3242.4
Arizona,AZ,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,745,33.5,3246.4
Arizona,AZ,2016,F,Unknown or Not Stated,-9,239,27.6,3079.6
Arizona,AZ,2016,M,8th grade or less,1,1378,29.4,3309.0
Arizona,AZ,2016,M,9th through 12th grade with no diploma,2,6283,24.9,3280.5
Arizona,AZ,2016,M,High school graduate or GED completed,3,10905,26.2,3303.6
Arizona,AZ,2016,M,"Some college credit, but not a degree",4,10214,27.6,3349.6
Arizona,AZ,2016,M,"Associate degree (AA, AS)",5,3584,29.5,3369.7
Arizona,AZ,2016,M,"Bachelor's degree (BA, AB, BS)",6,7016,31.1,3399.4
Arizona,AZ,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2525,32.8,3377.1
Arizona,AZ,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,789,33.6,3315.4
Arizona,AZ,2016,M,Unknown or Not Stated,-9,312,28.2,3247.8
Arizona,AZ,2017,F,8th grade or less,1,1226,29.5,3248.9
Arizona,AZ,2017,F,9th through 12th grade with no diploma,2,5726,25.0,3192.4
Arizona,AZ,2017,F,High school graduate or GED completed,3,10473,26.4,3204.5
Arizona,AZ,2017,F,"Some college credit, but not a degree",4,9479,27.9,3220.5
Arizona,AZ,2017,F,"Associate degree (AA, AS)",5,3344,29.8,3246.5
Arizona,AZ,2017,F,"Bachelor's degree (BA, AB, BS)",6,6392,31.2,3272.3
Arizona,AZ,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2601,32.8,3245.5
Arizona,AZ,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,759,33.6,3231.4
Arizona,AZ,2017,F,Unknown or Not Stated,-9,273,28.3,3124.9
Arizona,AZ,2017,M,8th grade or less,1,1291,29.8,3300.8
Arizona,AZ,2017,M,9th through 12th grade with no diploma,2,5831,24.8,3271.5
Arizona,AZ,2017,M,High school graduate or GED completed,3,11019,26.3,3311.8
Arizona,AZ,2017,M,"Some college credit, but not a degree",4,9739,27.8,3346.8
Arizona,AZ,2017,M,"Associate degree (AA, AS)",5,3412,29.8,3360.9
Arizona,AZ,2017,M,"Bachelor's degree (BA, AB, BS)",6,6627,31.2,3395.9
Arizona,AZ,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2540,32.8,3351.0
Arizona,AZ,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,835,33.6,3363.6
Arizona,AZ,2017,M,Unknown or Not Stated,-9,305,29.2,3218.5
Arizona,AZ,2018,F,8th grade or less,1,1172,29.5,3224.7
Arizona,AZ,2018,F,9th through 12th grade with no diploma,2,5420,24.9,3172.1
Arizona,AZ,2018,F,High school graduate or GED completed,3,10416,26.5,3197.5
Arizona,AZ,2018,F,"Some college credit, but not a degree",4,9098,28.1,3224.5
Arizona,AZ,2018,F,"Associate degree (AA, AS)",5,3364,29.6,3229.8
Arizona,AZ,2018,F,"Bachelor's degree (BA, AB, BS)",6,6494,31.2,3272.2
Arizona,AZ,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2507,32.8,3252.8
Arizona,AZ,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,739,34.0,3172.0
Arizona,AZ,2018,F,Unknown or Not Stated,-9,179,28.4,3008.2
Arizona,AZ,2018,M,8th grade or less,1,1222,29.5,3286.6
Arizona,AZ,2018,M,9th through 12th grade with no diploma,2,5682,25.1,3269.5
Arizona,AZ,2018,M,High school graduate or GED completed,3,10887,26.5,3317.9
Arizona,AZ,2018,M,"Some college credit, but not a degree",4,9563,28.0,3343.4
Arizona,AZ,2018,M,"Associate degree (AA, AS)",5,3523,29.9,3360.1
Arizona,AZ,2018,M,"Bachelor's degree (BA, AB, BS)",6,6832,31.2,3379.4
Arizona,AZ,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2604,32.9,3356.8
Arizona,AZ,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,836,33.8,3321.6
Arizona,AZ,2018,M,Unknown or Not Stated,-9,185,28.7,3118.8
Arizona,AZ,2019,F,8th grade or less,1,1083,29.6,3180.5
Arizona,AZ,2019,F,9th through 12th grade with no diploma,2,5085,25.1,3168.3
Arizona,AZ,2019,F,High school graduate or GED completed,3,10418,26.6,3204.0
Arizona,AZ,2019,F,"Some college credit, but not a degree",4,8830,28.2,3237.9
Arizona,AZ,2019,F,"Associate degree (AA, AS)",5,3384,29.9,3252.0
Arizona,AZ,2019,F,"Bachelor's degree (BA, AB, BS)",6,6529,31.2,3268.0
Arizona,AZ,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2479,32.8,3251.0
Arizona,AZ,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,753,34.1,3222.6
Arizona,AZ,2019,F,Unknown or Not Stated,-9,138,28.4,2953.7
Arizona,AZ,2019,M,8th grade or less,1,1164,29.8,3335.9
Arizona,AZ,2019,M,9th through 12th grade with no diploma,2,5265,25.1,3287.7
Arizona,AZ,2019,M,High school graduate or GED completed,3,10875,26.6,3305.6
Arizona,AZ,2019,M,"Some college credit, but not a degree",4,9419,28.2,3334.3
Arizona,AZ,2019,M,"Associate degree (AA, AS)",5,3419,29.8,3368.7
Arizona,AZ,2019,M,"Bachelor's degree (BA, AB, BS)",6,6937,31.2,3380.2
Arizona,AZ,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2594,33.0,3368.6
Arizona,AZ,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,803,34.0,3304.0
Arizona,AZ,2019,M,Unknown or Not Stated,-9,200,29.1,3049.9
Arizona,AZ,2020,F,8th grade or less,1,981,29.6,3195.8
Arizona,AZ,2020,F,9th through 12th grade with no diploma,2,4665,25.2,3170.1
Arizona,AZ,2020,F,High school graduate or GED completed,3,10275,26.7,3206.2
Arizona,AZ,2020,F,"Some college credit, but not a degree",4,8564,28.4,3235.5
Arizona,AZ,2020,F,"Associate degree (AA, AS)",5,3285,29.9,3248.6
Arizona,AZ,2020,F,"Bachelor's degree (BA, AB, BS)",6,6563,31.2,3274.3
Arizona,AZ,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2449,32.9,3220.5
Arizona,AZ,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,813,33.9,3211.5
Arizona,AZ,2020,F,Unknown or Not Stated,-9,179,28.9,3014.9
Arizona,AZ,2020,M,8th grade or less,1,977,29.4,3261.8
Arizona,AZ,2020,M,9th through 12th grade with no diploma,2,4888,25.2,3267.6
Arizona,AZ,2020,M,High school graduate or GED completed,3,10585,26.7,3322.5
Arizona,AZ,2020,M,"Some college credit, but not a degree",4,8998,28.4,3333.4
Arizona,AZ,2020,M,"Associate degree (AA, AS)",5,3418,30.0,3349.2
Arizona,AZ,2020,M,"Bachelor's degree (BA, AB, BS)",6,6699,31.3,3383.4
Arizona,AZ,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2577,32.8,3369.2
Arizona,AZ,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,828,34.0,3308.8
Arizona,AZ,2020,M,Unknown or Not Stated,-9,203,29.5,3082.4
Arizona,AZ,2021,F,8th grade or less,1,899,29.2,3183.5
Arizona,AZ,2021,F,9th through 12th grade with no diploma,2,4417,25.3,3140.5
Arizona,AZ,2021,F,High school graduate or GED completed,3,10448,26.9,3195.8
